Basidiospore,Length,Width,Q (length/width)
1,14.5,8.5,1.7
2,11,8,1.4
3,11,8.5,1.3
4,12,7.5,1.6
5,11,8.5,1.3
6,12,7,1.7
7,11.5,7,1.6
8,14,8,1.8
9,11,9,1.2
10,12,8,1.5
11,12.5,8.5,1.5
12,12.5,8,1.6
13,12,8,1.5
14,11.5,7.5,1.5
15,11,8,1.4
16,11,8.5,1.3
17,13,8.5,1.5
18,12,9,1.3
19,12,7.5,1.6
20,13.5,9,1.5
21,12.5,8,1.6
22,12,7.5,1.6
23,12.5,6.5,1.9
24,12,8,1.5
25,11,9,1.2
