Basidiospore,Length,Width,Q (length/width)
1,13,12.5,1.04
2,12.5,13,0.96
3,12.5,12,1.04
4,11.5,11.5,1.00
5,12.5,11.5,1.09
6,12.5,12.5,1.00
7,12.5,12,1.04
8,12,12,1.00
9,13,13,1.00
10,12,12,1.00
11,12,13,0.92
12,11.5,11,1.05
13,10.5,11,0.95
14,12,12.5,0.96
15,12.5,12,1.04
16,12.5,12,1.04
17,11,11,1.00
18,11.5,12,0.96
19,12,11.5,1.04
20,12.5,12,1.04
21,14,14.5,0.97
22,12,10.5,1.14
23,12.5,11.5,1.09
24,13.5,12.5,1.08
25,13,12.5,1.04
