Basidiospore,Length,Width,Q (length/width)
1,11,9,1.22
2,12.5,11,1.14
3,10,7.5,1.33
4,11,8.5,1.29
5,10,8.5,1.18
6,13,10,1.30
7,9,6.5,1.38
8,9.5,7,1.36
9,7.5,6,1.25
10,10,8.5,1.18
11,8,7.5,1.07
12,9,8.5,1.06
13,9,8.5,1.06
14,8,7,1.14
15,9,7,1.29
16,10,8.5,1.18
17,10.5,7.5,1.40
18,10.5,8.5,1.24
19,10,8,1.25
20,9,7.5,1.20
21,11,10.5,1.05
22,10.5,9,1.17
23,9.5,9,1.06
24,10,9,1.11
25,10.5,7.5,1.40
