Basidiospore,Length,Width,Q (length/width)
1,10,8.5,1.18
2,12,9,1.33
3,10,8.5,1.18
4,12,8.5,1.41
5,11,8.5,1.29
6,12,9,1.33
7,12,10,1.20
8,12,9,1.33
9,11.5,8,1.44
10,10.5,8,1.31
11,11,8.5,1.29
12,11.5,8.5,1.35
13,11,9,1.22
14,11,8.5,1.29
15,12,8.5,1.41
16,11,10,1.10
17,12.5,9,1.39
18,12,9.5,1.26
19,10,9,1.11
20,11.5,9.5,1.21
21,10,8.5,1.18
22,11,9,1.22
23,12,9,1.33
24,13,10,1.30
25,11,8.5,1.29
