Basidiospore,Length,Width,Q (length/width)
1,12,9.5,1.26
2,12,9,1.33
3,12,10,1.20
4,10,10,1.00
5,11.5,10.5,1.10
6,12,9.5,1.26
7,13,10.5,1.24
8,11.5,10,1.15
9,12,10.5,1.14
10,11.5,10,1.15
11,11.5,9.5,1.21
12,11.5,9.5,1.21
13,13,9,1.44
14,10.5,10.5,1.00
15,11.5,11,1.05
16,12.5,11,1.14
17,11,8,1.38
18,12,8.5,1.41
19,12,10,1.20
20,10.5,10.5,1.00
21,10.5,9.5,1.11
22,12,11,1.09
23,10.5,9.5,1.11
24,10,9,1.11
25,12,11.5,1.04
