Basidiospore,Length,Width,Q (length/width)
1,10.5,8,1.31
2,12,9,1.33
3,10.5,8,1.31
4,11,8.5,1.29
5,10.5,7.5,1.40
6,10,8,1.25
7,11,8,1.38
8,10,7.5,1.33
9,11.5,8,1.44
10,11.5,8.5,1.35
11,11.5,8.5,1.35
12,11.5,8.5,1.35
13,12,8.5,1.41
14,10.5,8,1.31
15,10.5,8.5,1.24
16,11,8,1.38
17,11.5,8,1.44
18,10.5,8,1.31
19,11,8,1.38
20,10.5,8.5,1.24
21,12,8,1.50
22,11.5,7.5,1.53
23,10.5,7.5,1.40
24,11,7.5,1.47
25,11,8,1.38
