Basidiospore,Length,Width,Q (length/width)
1,11,10,1.10
2,10,8.5,1.18
3,9,8.5,1.06
4,11,9.5,1.16
5,9,9,1.00
6,8.5,7,1.21
7,10,8.5,1.18
8,9.5,9,1.06
9,10,9.5,1.05
10,9,8.5,1.06
11,9,8.5,1.06
12,8.5,8,1.06
13,10,9,1.11
14,9.5,8.5,1.12
15,8.5,8,1.06
16,10,9.5,1.05
17,9.5,9,1.06
18,9.5,9,1.06
19,9,9,1.00
20,10,9,1.11
21,9,9,1.00
22,9,8.5,1.06
23,10,9,1.11
24,9,9,1.00
25,9.5,8.5,1.12
