Basidiospore,Length,Width,Q (length/width)
1,12,12,1.00
2,10.5,11.5,0.91
3,11.5,11.5,1.00
4,12,12.5,0.96
5,13.5,14,0.96
6,12,11,1.09
7,11,12,0.92
8,11.5,11,1.05
9,12.5,12.5,1.00
10,10.5,12,0.88
11,10.5,10.5,1.00
12,12,13,0.92
13,9.5,10,0.95
14,11.5,11.5,1.00
15,11,11.5,0.96
16,12,12,1.00
17,13,12.5,1.04
18,10,10,1.00
19,13.5,13,1.04
20,11,11,1.00
21,12,12,1.00
22,10,11,0.91
23,11.5,11,1.05
24,11.5,10,1.15
25,12,11.5,1.04
