Basidiospore,Length,Width,Q (length/width)
1,11,8,1.38
2,11.5,9,1.28
3,11.5,8.5,1.35
4,12.5,8,1.56
5,11,9,1.22
6,12,9,1.33
7,13.5,9.5,1.42
8,12.5,9.5,1.32
9,12.5,9,1.39
10,13,8.5,1.53
11,13,10,1.30
