Basidiospore,Length,Width,Q (length/width)
1,10.5,9.5,1.11
2,11,9.5,1.16
3,12,9.5,1.26
4,9.5,8.5,1.12
5,10.5,9.5,1.11
6,11,9,1.22
7,11,10,1.10
8,11,9,1.22
9,9,9,1.00
10,9.5,9.5,1.00
11,10,9.5,1.05
12,10,10,1.00
13,10.5,9.5,1.11
14,12,10,1.20
15,11.5,10.5,1.10
16,11.5,11,1.05
17,11,10,1.10
18,11,10.5,1.05
19,11,9,1.22
20,10.5,10,1.05
21,10,9.5,1.05
22,11.5,9,1.28
23,10,9.5,1.05
24,11,9.5,1.16
25,10,10,1.00
