Basidiospore,Length,Width,Q (length/width)
1,12.5,8,1.6
2,12.5,7,1.8
3,11.5,7,1.6
4,14,8.5,1.6
5,13.5,7.5,1.8
6,12.5,7.5,1.7
7,14.5,9,1.6
8,11,8,1.4
9,10,6.5,1.5
10,12,7.5,1.6
11,11,7.5,1.5
12,12,8,1.5
13,13,8,1.6
14,12,8.5,1.4
15,12.5,7.5,1.7
16,14,8.5,1.6
17,13,7.5,1.7
18,12,8,1.5
19,12,7.5,1.6
20,14,8,1.8
21,11,7,1.6
22,12,6.5,1.8
23,11.5,7,1.6
24,11.5,6,1.9
25,12.5,7.5,1.7
