Basidiospore,Length,Width,Q (length/width)
1,11.5,7.5,1.5
2,10,6.5,1.5
3,11,7.5,1.5
4,10,7,1.4
5,11.5,8,1.4
6,12,8.5,1.4
7,10,7.5,1.3
8,10.5,7,1.5
9,9.5,6.5,1.5
10,10.5,7.5,1.4
11,10,7.5,1.3
12,9.5,7,1.4
13,10.5,6.5,1.6
14,10.5,6.5,1.6
15,10.5,7,1.5
16,11,7,1.6
17,10.5,7,1.5
18,11,7.5,1.5
19,9.5,7.5,1.3
20,10,7.5,1.3
21,10.5,8,1.3
22,11,7.5,1.5
23,11,7.5,1.5
24,11,7.5,1.5
25,11,7.5,1.5
