Basidiospore,Length,Width,Q (length/width)
1,7.5,7.5,1.0
2,8.5,8,1.1
3,7.5,7,1.1
4,8.5,9,0.9
5,8,8,1.0
6,8,7.5,1.1
7,8,7.5,1.1
8,8,8,1.0
9,8.5,8,1.1
10,8.5,8,1.1
11,7.5,7,1.1
12,7.5,7.5,1.0
13,8.5,8.5,1.0
14,9,8,1.1
15,7,7,1.0
16,8.5,8,1.1
17,8.5,8,1.1
18,8.5,8,1.1
19,9,8.5,1.1
20,9.5,9,1.1
21,8,8,1.0
22,8,8,1.0
23,8.5,8,1.1
24,8,7.5,1.1
25,8.5,7.5,1.1
