Basidiospore,Length,Width,Q (length/width)
1,11,10,1.10
2,10.5,10.5,1.00
3,11,10.5,1.05
4,11.5,11,1.05
5,11.5,11,1.05
6,11.5,11,1.05
7,12,12.5,0.96
8,10,10.5,0.95
9,9.5,9.5,1.00
10,11,11.5,0.96
11,12,11,1.09
12,10,10,1.00
13,10,10,1.00
