Basidiospore,Length,Width,Q (length/width)
1,16,5,3.2
2,14,4.5,3.1
3,13.5,5,2.7
4,14,4.5,3.1
5,13,5,2.6
6,15,5,3.0
7,14,4,3.5
8,12.5,4.5,2.8
9,13,4.5,2.9
10,14.5,4.5,3.2
11,11.5,4.5,2.6
12,13.5,4.5,3.0
13,11.5,4.5,2.6
14,13.5,5,2.7
15,14.5,5,2.9
16,14,5,2.8
17,12.5,4.5,2.8
18,13.5,5,2.7
19,13.5,5,2.7
20,14,4,3.5
21,14.5,5,2.9
22,13,4.5,2.9
23,16,4.5,3.6
24,13,4,3.3
25,13,5,2.6
