Basidiospore,Length,Width,Q (length/width)
1,10,5,2.00
2,9,5.5,1.64
3,9,6,1.50
4,11.5,7,1.64
5,10,6.5,1.54
6,10,6.5,1.54
7,11,7,1.57
8,12,7,1.71
9,11,6.5,1.69
10,11.5,6,1.92
11,11,6.5,1.69
12,10,6,1.67
13,10,7,1.43
14,9.5,6,1.58
15,10,6.5,1.54
16,10.5,6.5,1.62
17,10,6.5,1.54
18,10,6.5,1.54
19,9.5,5.5,1.73
20,9.5,6.5,1.46
21,11,6.5,1.69
22,11,7,1.57
23,10,6,1.67
24,10.5,6.5,1.62
25,11,7,1.57
