Basidiospore,Length,Width,Q (length/width)
1,11,9,1.22
2,11.5,9,1.28
3,11.5,9,1.28
4,10,9,1.11
5,10.5,8.5,1.24
6,9.5,8,1.19
7,10.5,8.5,1.24
8,10,9.5,1.05
9,11.5,9,1.28
10,11,9.5,1.16
11,12,9.5,1.26
12,10.5,8.5,1.24
13,10.5,9.5,1.11
14,10,8,1.25
15,10.5,8,1.31
16,10.5,7.5,1.40
17,10,8,1.25
18,10,8,1.25
19,9.5,8.5,1.12
20,10,8,1.25
21,11,8,1.38
