Basidiospore,Length,Width,Q (length/width)
1,18,12.5,1.44
2,15.5,12.5,1.24
3,16.5,12.5,1.32
4,16.5,12.5,1.32
5,16.5,14,1.18
6,17.5,13,1.35
7,17,12.5,1.36
8,17.5,14,1.25
9,17,13.5,1.26
10,20,14,1.43
11,17,14.5,1.17
12,16.5,12.5,1.32
13,17,13,1.31
