Basidiospore,Length,Width,Q (length/width)
1,10.5,8,1.31
2,9,7.5,1.20
3,10,7.5,1.33
4,10,7.5,1.33
5,9.5,8,1.19
6,10,7.5,1.33
7,8,7,1.14
8,9.5,6.5,1.46
9,10,8,1.25
10,10,8,1.25
11,9,7,1.29
12,10.5,8,1.31
13,10,7.5,1.33
14,9.5,8,1.19
15,9,8,1.13
16,9,8,1.13
17,10,8,1.25
18,10,7.5,1.33
19,10,8,1.25
20,10,7.5,1.33
21,9.5,9,1.06
22,10,7,1.43
23,8.5,7,1.21
24,9,7.5,1.20
25,10,8,1.25
