Basidiospore,Length,Width,Q (length/width)
1,11.5,10,1.15
2,11,10,1.10
3,11.5,11,1.05
4,11.5,11,1.05
5,9.5,10,0.95
6,9.5,9.5,1.00
7,11.5,9.5,1.21
8,13,11,1.18
9,12.5,10.5,1.19
10,12.5,10.5,1.19
11,11,11,1.00
12,12.5,11.5,1.09
13,12,11,1.09
14,11.5,11.5,1.00
15,11,12,0.92
16,10.5,10.5,1.00
17,11.5,10.5,1.10
18,11.5,11,1.05
19,11.5,10,1.15
20,10,10,1.00
21,11.5,10.5,1.10
22,11,11,1.00
