Basidiospore,Length,Width,Q (length/width)
1,9,8,1.13
2,8.5,8,1.06
3,8,7.5,1.07
4,7.5,7,1.07
5,8.5,7.5,1.13
6,7,7,1.00
7,8.5,7.5,1.13
8,10,9,1.11
9,7,6.5,1.08
10,9,8,1.13
11,8,6.5,1.23
12,8,7,1.14
13,8,7.5,1.07
14,8,8,1.00
15,8.5,7.5,1.13
16,7,6.5,1.08
17,7,7.5,0.93
18,8,7,1.14
19,8,7,1.14
20,8,7,1.14
21,8,7.5,1.07
22,8,6,1.33
23,8,7,1.14
24,7.5,7,1.07
25,9,8,1.13
