Basidiospore,Length,Width,Q (length/width)
1,11.5,11.5,1.00
2,11.5,11,1.05
3,9.5,9.5,1.00
4,10.5,10.5,1.00
5,11.5,11.5,1.00
6,10.5,10,1.05
7,10.5,10.5,1.00
8,12,12.5,0.96
9,11,11.5,0.96
10,11,11,1.00
11,11,10.5,1.05
12,7.5,8,0.94
13,10.5,10.5,1.00
14,11,11.5,0.96
15,10,10,1.00
16,10.5,11,0.95
17,12.5,12,1.04
18,11,10.5,1.05
19,10,9.5,1.05
20,10.5,10.5,1.00
21,11,11.5,0.96
22,11,11,1.00
23,10.5,10,1.05
24,10.5,10.5,1.00
25,11.5,11.5,1.00
