Basidiospore,Length,Width,Q (length/width)
1,14.5,12,1.21
2,12,12,1.00
3,12,11.5,1.04
4,9,8.5,1.06
5,9.5,11,0.86
6,10,8.5,1.18
7,9.5,9,1.06
8,11,8.5,1.29
9,10,7.5,1.33
10,9.5,8.5,1.12
11,9.5,8.5,1.12
12,10,9.5,1.05
13,9,9.5,0.95
14,8,8,1.00
15,10.5,8.5,1.24
16,9.5,9,1.06
17,11,9.5,1.16
18,9,8,1.13
19,11,9,1.22
20,10,9.5,1.05
21,10,8.5,1.18
22,10,9,1.11
23,8,8.5,0.94
24,7.5,7,1.07
25,9.5,9.5,1.00
