Basidiospore,Length,Width,Q (length/width)
1,8,8.5,0.94
2,11.5,9,1.28
3,9,8.5,1.06
4,9.5,8,1.19
5,9.5,9.5,1.00
6,12,12,1.00
7,9,9,1.00
8,10,10,1.00
9,9,8.5,1.06
10,10,10,1.00
11,10.5,10,1.05
12,11.5,11,1.05
13,9,9,1.00
14,9,9,1.00
15,10.5,9.5,1.11
16,12,12,1.00
17,10,10.5,0.95
18,10,9.5,1.05
19,10.5,11,0.95
20,9.5,9.5,1.00
21,11,10,1.10
22,10,10,1.00
23,9,9.5,0.95
24,11,11,1.00
25,9,9,1.00
